Continent,History Oil-Proven Reserves (Bbbls),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa,Sudan,-,"0,2","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,6","0,6","0,6","0,6","0,6","5,0","5,0","5,0","5,0","5,0","5,0","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5","1,5"
Africa,Tunisia,"2,2","2,5","2,5","2,5","1,8","1,8","1,8","1,7","1,8","1,8","1,7","0,4","0,5","0,4","0,3","0,4","0,3","0,3","0,3","0,3","0,4","0,5","0,5","0,6","0,7","0,6","0,6","0,6","0,6","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4"
Africa,Other Africa,"0,6","0,6","0,7","0,7","1,0","1,0","1,0","1,0","1,0","0,9","0,9","0,8","0,8","0,6","0,6","0,7","0,7","0,7","0,7","0,7","0,7","0,6","0,6","0,6","0,6","0,5","0,7","0,7","0,7","0,6","2,3","2,2","3,7","3,7","3,7","4,0","4,0","3,9","3,8","3,7","3,8"
Asia Pacific,Australia,"2,1","2,6","2,9","2,5","2,6","2,5","2,9","2,9","3,2","3,1","3,2","3,2","3,2","3,3","3,8","3,8","3,8","4,0","4,8","4,7","4,9","5,0","4,6","3,7","3,9","3,7","3,5","3,4","4,2","4,1","3,8","3,9","3,9","4,0","2,4","2,4","2,4","2,4","2,4","2,4","2,4"
Asia Pacific,Brunei,"1,3","1,5","1,4","1,5","1,5","1,4","1,5","1,6","1,2","1,2","1,1","1,2","1,1","1,3","1,2","1,1","1,1","1,1","1,0","1,3","1,2","1,2","1,1","1,1","1,1","1,1","1,2","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1"
Asia Pacific,China,"13,4","13,3","13,3","14,9","16,4","17,1","17,2","17,4","17,3","16,1","16,0","15,5","15,2","16,4","16,3","16,4","16,4","17,0","17,4","15,1","15,2","15,4","15,5","15,5","18,3","18,2","20,2","20,8","21,2","21,6","23,3","23,7","24,4","24,7","25,2","25,6","25,7","25,9","26,2","26,0","26,0"
Asia Pacific,India,"2,8","3,5","3,5","3,6","3,8","3,8","4,6","4,4","4,5","4,3","5,6","6,1","5,9","5,9","5,8","5,5","5,5","5,6","5,4","5,0","5,3","5,5","5,6","5,7","5,6","5,9","5,7","5,5","5,8","5,8","5,8","5,7","5,7","5,7","5,7","4,8","4,7","4,5","4,5","4,7","4,5"
Asia Pacific,Indonesia,"11,6","11,0","10,5","10,1","9,6","9,2","9,0","9,0","9,0","5,1","5,4","5,9","5,6","5,2","5,0","5,0","4,7","4,9","5,1","5,2","5,1","5,1","4,7","4,7","4,3","4,2","4,4","4,0","3,7","4,3","4,2","3,7","3,7","3,7","3,6","3,6","3,3","3,2","3,2","2,5","2,4"
Asia Pacific,Malaysia,"1,5","1,4","1,6","1,9","1,9","1,9","1,8","1,8","1,9","1,8","1,9","3,5","3,8","2,7","2,6","2,5","2,4","2,4","2,1","2,1","2,1","2,7","2,9","3,0","3,3","3,3","2,7","3,4","3,5","3,6","3,6","3,7","3,7","3,8","3,6","3,0","2,8","2,7","2,7","2,7","2,7"
Asia Pacific,Thailand,^,^,^,^,"0,1","0,1","0,1","0,1","0,1","0,2","0,3","0,2","0,2","0,2","0,2","0,3","0,2","0,3","0,4","0,4","0,5","0,6","0,7","0,5","0,5","0,5","0,5","0,5","0,5","0,4","0,4","0,5","0,4","0,5","0,4","0,4","0,3","0,3","0,3","0,3","0,3"
Asia Pacific,Vietnam,-,-,-,-,-,-,-,^,"0,1","0,1","0,2","0,2","0,4","0,6","0,6","0,8","0,9","1,2","1,9","1,8","2,0","2,2","2,8","3,0","3,1","3,1","3,3","3,4","4,7","4,5","4,4","4,4","4,4","4,4","4,4","4,4","4,4","4,4","4,4","4,4","4,4"
Asia Pacific,Other Asia Pacific,"1,0","1,1","1,1","1,1","1,1","1,2","0,7","0,7","1,0","0,9","1,0","0,9","0,9","1,1","1,1","1,1","1,3","1,2","1,3","1,4","1,3","1,2","1,1","1,4","1,5","1,4","1,4","1,3","1,3","1,1","1,1","1,1","1,1","1,3","1,2","1,3","1,2","1,2","1,2","1,4","1,3"
World,Total World,"682,6","691,1","722,2","734,1","746,4","774,3","879,6","911,1","999,5","1000,2","1000,9","1072,9","1076,9","1076,3","1090,2","1098,7","1121,3","1149,2","1157,6","1280,3","1300,9","1307,2","1357,1","1358,3","1365,3","1372,5","1383,3","1418,3","1488,9","1530,3","1636,9","1674,3","1683,6","1691,9","1694,4","1683,9","1690,3","1728,2","1736,1","1734,8","1732,4"
World,OECD,"141,5","147,7","148,6","149,1","124,3","125,2","124,9","125,0","125,7","123,7","122,1","120,4","121,6","119,8","127,8","128,8","130,3","145,2","146,4","261,9","262,7","261,2","257,8","247,3","245,2","244,6","240,7","239,7","234,0","234,6","238,5","242,8","247,2","250,5","253,6","246,8","244,6","256,7","263,7","261,5","260,0"
World,Non-OECD,"541,1","543,4","573,7","585,1","622,1","649,0","754,7","786,1","873,8","876,5","878,8","952,5","955,2","956,5","962,3","969,9","991,0","1004,0","1011,2","1018,4","1038,2","1046,0","1099,3","1111,0","1120,1","1127,9","1142,6","1178,6","1254,9","1295,7","1398,3","1431,5","1436,3","1441,3","1440,8","1437,1","1445,6","1471,5","1472,4","1473,3","1472,4"
World,OPEC,"422,0","426,1","456,1","464,9","499,5","525,5","632,3","664,2","750,7","759,0","760,7","766,4","768,1","769,8","775,0","782,9","802,8","806,1","810,3","819,2","833,0","839,1","875,6","885,3","892,7","900,9","910,4","922,2","997,1","1038,1","1137,7","1171,2","1173,1","1178,5","1178,8","1180,8","1187,3","1213,4","1213,2","1214,7","1214,7"
World,Non-OPEC ,"260,6","265,0","266,1","269,3","246,9","248,7","247,3","246,9","248,8","241,2","240,2","306,5","308,7","306,6","315,2","315,8","318,5","343,0","347,3","461,0","468,0","468,1","481,4","473,0","472,6","471,6","472,9","496,1","491,8","492,2","499,1","503,1","510,5","513,4","515,6","503,1","502,9","514,8","523,0","520,1","517,7"
World,European Union,"3,3","3,1","3,2","3,8","4,0","4,0","4,0","3,8","4,0","3,9","4,2","4,3","3,9","3,6","3,7","3,8","3,7","3,5","3,6","3,8","3,9","4,0","3,3","3,4","3,3","3,2","3,0","3,0","2,6","3,2","3,2","3,1","2,9","2,8","2,7","2,6","2,4","2,4","2,4","2,4","2,4"
