Continent,Gas Production (Bcm),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CIS,Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"78,7","80,2","83,4","83,6","85,1","79,2","76,1","50,3","58,9","32,3","29,2","31,8","15,6","12,0","20,6","42,4","46,3","48,3","53,4","52,6","56,9","56,6","61,6","61,6","33,3","40,1","56,3","59,0","59,0","63,5","65,9","63,2","58,7","61,5","63,2","66,0","79,3","78,3","76,3"
CIS,USSR,"187,5","201,2","209,7","223,8","246,9","274,0","304,0","327,7","352,6","385,1","412,2","440,8","474,3","507,4","556,4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CIS,Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"32,7","36,5","37,7","37,8","38,9","36,8","37,8","38,5","40,6","42,6","43,3","44,2","45,4","49,5","50,2","50,9","51,5","52,7","53,1","53,8","54,6","56,6","58,9","61,0","58,4","57,1","56,6","56,5","55,9","56,3","53,6","53,1","53,6","58,3","57,5","47,1","50,9","48,9","44,2"
CIS,Other CIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,7","0,8","0,8","0,7","0,7","0,6","0,6","0,6","0,5","0,5","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3"
Middle East,Bahrain,"0,7","0,9","1,2","1,7","2,1","2,2","2,3","2,5","2,7","3,0","2,4","2,3","3,6","3,8","3,9","4,7","5,4","5,3","5,6","5,8","6,1","5,8","6,8","7,3","7,4","7,5","7,8","8,3","8,8","9,1","9,2","9,6","9,9","10,1","9,3","10,2","10,8","11,2","12,0","12,1","12,4","12,6","13,1","14,0","14,7","14,6","14,4","14,5","14,6","16,3","16,4","16,6","15,8","15,8"
Middle East,Iran,"3,5","8,5","11,4","12,6","13,1","13,6","13,9","14,1","8,8","8,5","4,5","4,9","6,7","7,7","9,0","9,7","9,3","11,4","12,4","15,6","24,7","29,2","30,9","16,5","26,2","31,9","37,5","39,4","44,5","53,0","56,3","62,6","74,4","78,1","91,0","96,6","105,3","118,0","123,6","135,7","143,9","151,0","156,9","157,5","175,5","183,5","199,3","213,9","220,1","228,3","235,8","242,8","247,7","259,7"
Middle East,Iraq,"0,7","0,9","0,9","0,9","0,8","1,2","1,7","1,1","1,2","1,7","1,2","0,6","0,6","0,4","0,6","0,8","1,5","3,6","5,3","6,1","3,8","1,7","2,2","2,4","3,0","3,0","3,1","2,9","2,8","3,0","3,0","2,6","2,2","1,5","1,0","1,4","1,4","4,5","6,5","6,9","7,1","6,3","6,3","7,1","7,5","7,3","9,9","10,1","10,6","11,0","7,0","9,1","9,3","10,4"
Middle East,Israel,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1",^,^,^,^,"0,1","0,1","0,1",^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"1,1","1,6","2,2","2,6","3,3","2,5","3,1","4,0","2,4","6,1","7,1","7,9","8,8","9,3","9,9","10,0","14,7","18,3","20,8","19,8"
Middle East,Kuwait,"1,9","2,0","2,4","2,6","2,8","3,1","3,7","4,0","4,5","5,9","3,9","4,4","3,5","3,8","4,2","4,0","5,4","4,5","6,5","7,8","4,0","0,5","2,5","5,1","5,7","8,8","8,8","8,8","9,0","8,3","9,1","9,0","8,3","9,5","10,4","11,7","11,8","10,7","12,1","10,9","11,1","12,9","14,7","15,5","14,3","16,1","16,4","16,2","16,9","13,3","12,2","12,1","13,2","14,8"
Middle East,Oman,-,-,-,-,-,-,-,-,"0,3","0,5","0,6","0,8","0,8","1,0","1,3","1,7","1,9","2,2","2,2","2,3","2,4","2,5","2,7","2,6","2,7","3,8","4,1","4,7","4,9","5,1","10,3","15,4","16,6","18,3","18,7","20,8","24,3","24,6","24,1","23,9","25,7","27,1","28,3","30,8","29,3","30,7","31,5","32,3","36,3","36,7","36,9","40,3","42,1","43,2"
Middle East,Qatar,"1,0","1,0","1,1","1,6","1,3","2,1","1,1","1,6","1,5","4,5","4,9","4,5","5,2","5,4","6,1","5,7","6,0","5,8","6,1","6,4","6,5","7,9","8,2","8,6","8,9","9,3","9,7","13,4","16,2","21,4","25,8","27,9","30,5","32,5","40,5","47,4","52,5","65,4","79,7","92,4","123,1","150,4","162,5","167,9","169,4","175,9","174,8","170,5","175,2","177,2","174,9","177,0","178,5","181,0"
Middle East,Saudi Arabia,"1,5","1,3","1,5","1,7","2,2","2,6","2,8","3,9","5,4","6,6","9,2","10,8","11,4","11,1","17,3","17,9","23,9","25,5","27,6","28,3","31,8","33,4","36,3","38,0","40,6","40,8","42,2","43,1","44,5","43,9","47,3","51,0","53,9","57,1","62,4","67,7","69,8","70,7","76,4","74,5","83,3","87,6","94,4","95,0","97,3","99,2","105,3","109,3","112,1","111,2","113,1","114,5","116,7","117,4"
Middle East,Syria,-,-,-,-,-,-,^,^,^,^,^,^,^,"0,1","0,1","0,2","0,4","0,4","0,9","1,4","1,6","1,9","1,9","1,9","2,1","2,6","2,8","4,3","5,4","5,4","5,4","5,5","6,1","6,5","5,9","5,7","5,9","5,7","5,6","6,1","8,4","7,4","6,1","5,0","4,6","4,1","3,5","3,5","3,5","3,3","2,9","3,1","2,5","2,6"
Middle East,United Arab Emirates,"0,8","1,4","1,5","1,7","1,7","1,6","1,9","3,8","5,6","6,0","7,3","8,6","9,3","8,2","10,7","12,9","14,8","16,5","16,9","19,9","19,6","23,2","21,6","22,4","25,2","30,5","33,0","35,4","36,1","37,5","37,4","38,4","42,3","43,7","45,1","46,6","47,6","49,0","49,0","47,6","50,0","51,0","52,9","53,2","52,9","58,6","59,5","52,7","46,4","53,7","53,7","53,1","54,2","55,3"
Middle East,Other Middle East,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","1,0","6,4","9,6","7,7","10,5","9,9","3,0","0,6","0,1","0,1","0,1","0,2","0,2","0,2","0,2"
Africa,Algeria,"2,4","2,6","3,3","4,3","5,0","6,2","7,7","7,4","11,5","18,9","15,4","17,9","23,3","33,4","34,0","37,3","38,2","43,1","45,1","48,6","51,7","55,7","58,0","58,7","54,0","61,5","65,3","74,9","80,2","90,1","91,9","86,5","88,9","93,9","92,1","84,9","81,3","81,6","82,6","76,6","77,4","79,6","78,4","79,3","80,2","81,4","91,4","93,0","93,8","87,0","81,4","101,1","97,6","101,5"
